2025-02-04 15:13:44 startup archives unpack
2025-02-04 15:13:44 install javascript-common:all <none> 11+nmu1
2025-02-04 15:13:44 status half-installed javascript-common:all 11+nmu1
2025-02-04 15:13:44 status unpacked javascript-common:all 11+nmu1
2025-02-04 15:13:44 install libjs-highlight.js:all <none> 9.18.5+dfsg1-1
2025-02-04 15:13:44 status half-installed libjs-highlight.js:all 9.18.5+dfsg1-1
2025-02-04 15:13:44 status unpacked libjs-highlight.js:all 9.18.5+dfsg1-1
2025-02-04 15:13:44 install libc-ares2:amd64 <none> 1.18.1-1ubuntu0.22.04.3
2025-02-04 15:13:44 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2025-02-04 15:13:44 status half-installed libc-ares2:amd64 1.18.1-1ubuntu0.22.04.3
2025-02-04 15:13:44 status unpacked libc-ares2:amd64 1.18.1-1ubuntu0.22.04.3
2025-02-04 15:13:44 install libnode72:amd64 <none> 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 status half-installed libnode72:amd64 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 status unpacked libnode72:amd64 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 install nodejs-doc:all <none> 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 status half-installed nodejs-doc:all 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 status unpacked nodejs-doc:all 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 install nodejs:amd64 <none> 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 status half-installed nodejs:amd64 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 status triggers-pending man-db:amd64 2.10.2-1
2025-02-04 15:13:44 status unpacked nodejs:amd64 12.22.9~dfsg-1ubuntu3.6
2025-02-04 15:13:44 startup packages configure
2025-02-04 15:13:44 configure javascript-common:all 11+nmu1 <none>
2025-02-04 15:13:44 status unpacked javascript-common:all 11+nmu1
2025-02-04 15:13:44 status half-configured javascript-common:all 11+nmu1
2025-02-04 15:13:44 status installed javascript-common:all 11+nmu1
2025-02-04 15:13:44 configure libc-ares2:amd64 1.18.1-1ubuntu0.22.04.3 <none>
2025-02-04 15:13:44 status unpacked libc-ares2:amd64 1.18.1-1ubuntu0.22.04.3
2025-02-04 15:13:44 status half-configured libc-ares2:amd64 1.18.1-1ubuntu0.22.04.3
2025-02-04 15:13:44 status installed libc-ares2:amd64 1.18.1-1ubuntu0.22.04.3
2025-02-04 15:13:44 configure libnode72:amd64 12.22.9~dfsg-1ubuntu3.6 <none>
